T,V,
-0.034,0.006,0.2
-0.0338,-0.024,0
-0.0336,0.004,0
-0.0334,0.006,0
-0.0332,-0.006,0
-0.033,-0.01,0
-0.0328,0.008,0
-0.0326,-0.022,0
-0.0324,0.008,0.2
-0.0322,0.022,0
-0.032,0.004,0
-0.0318,0.006,0.2
-0.0316,0.008,0
-0.0314,-0.002,0
-0.0312,0.016,0
-0.031,-0.002,0
-0.0308,0.008,0
-0.0306,0.008,0
-0.0304,-0.004,0
-0.0302,0.01,0
-0.03,-0.004,0
-0.0298,0.022,0.2
-0.0296,0.01,0.2
-0.0294,0.01,0
-0.0292,-0.004,0.2
-0.029,0.01,0
-0.0288,-0.012,0
-0.0286,0.036,0.2
-0.0284,0.014,0.2
-0.0282,-0.014,0
-0.028,0.002,0
-0.0278,0.01,0
-0.0276,-0.004,0
-0.0274,0.018,0
-0.0272,0.01,0
-0.027,0.016,0
-0.0268,0.004,0
-0.0266,0.004,0
-0.0264,-0.012,0
-0.0262,0.01,0
-0.026,0.008,0
-0.0258,0.004,0
-0.0256,-0.004,0
